weeks,main_thrust,subbrands,competitor1,competitor2,awareness
11/01/2016,622.2024923,67.49215,446.4916971,446.1957173,68.42891881
18/01/2016,661.4781932,93.71642534,392.9126934,392.6522312,68.69124896
25/01/2016,690.14081,123.9704543,345.9088369,345.5339635,69.32369034
01/02/2016,607.3239128,109.0939998,304.5794431,304.0698879,69.31587081
08/02/2016,591.2450433,120.2193865,268.02991,267.5815013,69.04162505
15/02/2016,582.4856381,105.7930601,236.1226541,235.4717212,69.01244416
22/02/2016,512.5873615,118.6178929,262.0039356,207.2151146,68.99492232
29/02/2016,451.0768781,105.4437457,266.0804633,182.3493009,69.18288039
07/03/2016,426.8776528,115.8338296,277.6641411,323.3907181,68.71505992
14/03/2016,411.5223344,101.93377,293.8161108,445.5038319,68.40703371
21/03/2016,397.896321,109.905051,258.5581775,392.0433721,68.3318585
28/03/2016,385.0920958,96.71644485,231.4418629,344.9981674,67.89472341
04/04/2016,338.8810443,111.9471381,291.6898393,361.3883874,67.76024857
11/04/2016,339.465319,124.9834816,381.561392,379.1217809,67.98113746
18/04/2016,334.2461474,136.8621304,468.154025,389.9238338,67.91612826
25/04/2016,331.2932764,120.4386748,533.2312086,400.4863071,67.83818257
02/05/2016,313.7747499,184.5727005,557.5197969,502.9412836,67.30022383
09/05/2016,318.7651132,248.7873097,517.4507546,675.8016629,67.49489403
16/05/2016,307.8332996,291.6928326,486.0749974,801.7087967,66.49338901
23/05/2016,316.5199703,304.9096927,524.1623311,952.4304077,65.80389855
30/05/2016,278.5375739,342.4638629,561.0501847,889.6454255,66.25745642
06/06/2016,283.5163984,325.224866,603.9111625,878.6213077,66.45059004
13/06/2016,302.4210972,318.3412154,561.781823,928.4800842,66.0996153
20/06/2016,301.3272322,310.1002696,525.6813376,1076.385807,65.71418029
27/06/2016,301.4012977,340.6249039,538.5929104,1152.802844,65.32728856
04/07/2016,265.233142,328.6465821,547.5950945,1243.106503,64.0589232
11/07/2016,357.2151649,344.8323256,551.1003498,1233.165722,63.53660948
18/07/2016,479.4493451,303.4524465,512.4579745,1157.769169,63.27355148
25/07/2016,536.3154237,297.4848196,475.3690176,1061.300202,62.99562206
01/08/2016,580.0975729,261.7866412,439.0644021,1058.177511,62.01228802
08/08/2016,590.7991975,230.3722443,411.1300072,1059.600876,61.96612361
15/08/2016,564.2832938,242.1942416,394.963073,1053.451438,62.1522397
22/08/2016,582.2392985,247.2109326,373.3745042,1057.857265,60.09193563
29/08/2016,566.2972494,268.3322874,345.2628971,1094.60106,59.91097175
05/09/2016,500.9549128,269.6190796,320.9023494,1046.2956,60.61754434
12/09/2016,496.0203232,268.5114567,298.3754008,1049.923461,59.92355235
19/09/2016,488.8045511,268.4267486,274.0840194,1043.955979,59.85593519
26/09/2016,480.0346717,265.2122054,247.1782704,996.4812615,60.24472979
03/10/2016,475.6238444,266.8367407,220.6038779,978.8068435,61.56218003
10/10/2016,475.4223164,265.1329985,199.8324126,886.2033556,61.12298654
17/10/2016,475.3116384,278.0537054,180.6301897,801.9056196,61.26230641
24/10/2016,468.6142418,285.8639274,191.871567,727.2272786,60.66482506
31/10/2016,412.3805328,295.8669228,216.2729789,667.0023385,61.17069844
07/11/2016,405.5815355,293.7795587,200.7778881,593.4847245,61.31254792
